Area,ISOCode,Year,Age,Sex,Population
Afghanistan,4,1970,0--4,Male,1117.38
Afghanistan,4,1975,0--4,Male,1277.03
Afghanistan,4,1980,0--4,Male,1356.03
Afghanistan,4,1985,0--4,Male,1230.69
Afghanistan,4,1990,0--4,Male,1295.74
Afghanistan,4,1995,0--4,Male,1999.94
Afghanistan,4,2000,0--4,Male,2330.76
Afghanistan,4,2005,0--4,Male,2650.07
Afghanistan,4,2010,0--4,Male,2852.49
Afghanistan,4,2015,0--4,Male,3233.02
Albania,8,1970,0--4,Male,164.81
Albania,8,1975,0--4,Male,172.72
Albania,8,1980,0--4,Male,178.39
Albania,8,1985,0--4,Male,186.86
Albania,8,1990,0--4,Male,202.32
Albania,8,1995,0--4,Male,180.22
Albania,8,2000,0--4,Male,147.69
Albania,8,2005,0--4,Male,118
Albania,8,2010,0--4,Male,108.32
Albania,8,2015,0--4,Male,96.89
Algeria,12,1970,0--4,Male,1363.74
Algeria,12,1975,0--4,Male,1533.21
Algeria,12,1980,0--4,Male,1712.39
Algeria,12,1985,0--4,Male,1961.04
Algeria,12,1990,0--4,Male,1972.92
Algeria,12,1995,0--4,Male,1867.18
Algeria,12,2000,0--4,Male,1549.11
Algeria,12,2005,0--4,Male,1619.93
Algeria,12,2010,0--4,Male,1762.89
Algeria,12,2015,0--4,Male,1803.49
Angola,24,1970,0--4,Male,566.57
Angola,24,1975,0--4,Male,630.22
Angola,24,1980,0--4,Male,746.2
Angola,24,1985,0--4,Male,896.7
Angola,24,1990,0--4,Male,1023.29
Angola,24,1995,0--4,Male,1188.01
Angola,24,2000,0--4,Male,1371.06
Angola,24,2005,0--4,Male,1612.94
Angola,24,2010,0--4,Male,1698.54
Angola,24,2015,0--4,Male,1859.89
Azerbaijan,31,1970,0--4,Male,382.69
Azerbaijan,31,1975,0--4,Male,355.52
Azerbaijan,31,1980,0--4,Male,360.24
Azerbaijan,31,1985,0--4,Male,414.75
Azerbaijan,31,1990,0--4,Male,485.76
Azerbaijan,31,1995,0--4,Male,458.63
Azerbaijan,31,2000,0--4,Male,364.46
Azerbaijan,31,2005,0--4,Male,348.22
Azerbaijan,31,2010,0--4,Male,427.96
Azerbaijan,31,2015,0--4,Male,528.11
Argentina,32,1970,0--4,Male,1249.53
Argentina,32,1975,0--4,Male,1424.15
Argentina,32,1980,0--4,Male,1691.65
Argentina,32,1985,0--4,Male,1663.46
Argentina,32,1990,0--4,Male,1726.07
Argentina,32,1995,0--4,Male,1773.33
Argentina,32,2000,0--4,Male,1755.2
Argentina,32,2005,0--4,Male,1690.38
Argentina,32,2010,0--4,Male,1723.8
Argentina,32,2015,0--4,Male,1708.02
Australia,36,1970,0--4,Male,618.99
Australia,36,1975,0--4,Male,650.63
Australia,36,1980,0--4,Male,581.86
Australia,36,1985,0--4,Male,613.45
Australia,36,1990,0--4,Male,646.38
Australia,36,1995,0--4,Male,667.45
Australia,36,2000,0--4,Male,654.78
Australia,36,2005,0--4,Male,661.71
Australia,36,2010,0--4,Male,748.4
Australia,36,2015,0--4,Male,786.23
Austria,40,1970,0--4,Male,312.08
Austria,40,1975,0--4,Male,256.14
Austria,40,1980,0--4,Male,220.8
Austria,40,1985,0--4,Male,230.55
Austria,40,1990,0--4,Male,224.41
Austria,40,1995,0--4,Male,235.47
Austria,40,2000,0--4,Male,211.71
Austria,40,2005,0--4,Male,204.22
Austria,40,2010,0--4,Male,198.31
Austria,40,2015,0--4,Male,199.77
Bahamas,44,1970,0--4,Male,11.81
Bahamas,44,1975,0--4,Male,12.77
Bahamas,44,1980,0--4,Male,12.88
Bahamas,44,1985,0--4,Male,15.02
Bahamas,44,1990,0--4,Male,14.47
Bahamas,44,1995,0--4,Male,15.53
Bahamas,44,2000,0--4,Male,14.26
Bahamas,44,2005,0--4,Male,12.08
Bahamas,44,2010,0--4,Male,13.05
Bahamas,44,2015,0--4,Male,13.08
Bahrain,48,1970,0--4,Male,17.72
Bahrain,48,1975,0--4,Male,20.15
Bahrain,48,1980,0--4,Male,25.27
Bahrain,48,1985,0--4,Male,29.77
Bahrain,48,1990,0--4,Male,33.62
Bahrain,48,1995,0--4,Male,30.86
Bahrain,48,2000,0--4,Male,30.74
